track_id,path,bpm,key
t001,"data/dj_tracks/Ander P, Malca (PE) - Putas Finas (Original Mix) [Mood Child].aiff",130.0,1m
t002,"data/dj_tracks/Andruss, Umberto Pagliaroli, El Apache Ness - Mueve (Original Mix) .mp3",128.0,G#m
t003,data/dj_tracks/Bad Bunny - Baile Inolvidable (Ordonez Remix).wav,128.0,Am
t004,"data/dj_tracks/Cajmere, Dajae - Brighter Days (Marco Lys Remix).mp3",126.0,Am
t005,data/dj_tracks/Carloh - Solo Tu (Original Mix) [Organic Pieces].aiff,128.0,Ebm
t006,data/dj_tracks/DJ Spen - The Fifth (Of Beethoven) (Original Mix).mp3,123.0,Abm
t007,"data/dj_tracks/DLPIN, Paul Martin (ES) - Dandole (Original Mix).mp3",130.0,Gm
t008,data/dj_tracks/Enzo Is Burning - Cap.mp3,130.0,F#m
t009,data/dj_tracks/Gabriel Rojas - The Six (Edit).mp3,128.0,Ebm
t010,data/dj_tracks/Hector Couto - Salimo (Original Mix).mp3,126.0,Ebm
t011,data/dj_tracks/Jamie Jones Miluhska - La Musa (Andruss Extended Mix).mp3,130.0,Fm
t012,data/dj_tracks/Kashovski - Bad Man.mp3,123.0,Ebm
t013,"data/dj_tracks/Marco Lys, Ben Miller (Aus) - Give It To Me (Extended Mix) [Club Sweat].aiff",128.0,Am
t014,data/dj_tracks/Mattei & Omich - Cave Man.mp3,124.0,Ebm
t015,data/dj_tracks/Noir & Haze - Around (Cyava Edit).mp3,130.0,9m
t016,data/dj_tracks/Ordonez - Bien Loco .mp3,128.0,Ebm
t017,data/dj_tracks/Pawsa - TOO COOL TO BE CARELESS (Extended Mix) .mp3,128.0,F#m
t018,data/dj_tracks/Plan B - Guatauba (Z A K EDIT).mp3,128.0,Cm
t019,"data/dj_tracks/Sem Jacobs, Tagmann - Blue Berries (MK ITA Afro Remix) - 2024.aiff",,
t020,data/dj_tracks/Toman - Verano En Ny.mp3,126.0,Cm
